,stn_code,latitude,longitude
155,STC,1.391609364,103.8954426
156,SE1,1.394493045,103.9004925
157,SE2,1.391468495,103.9059736
158,SE3,1.387994311,103.9054153
159,SE4,1.383959117,103.9022254
160,SE5,1.384233559,103.8971947
161,SW1,1.396277633,103.8937972
162,SW2,1.397170196,103.8893048
163,SW3,1.39821283,103.8812562
164,SW4,1.397318156,103.8756352
165,SW5,1.391885892,103.8763086
166,SW6,1.392079837,103.8800296
167,SW7,1.389347947,103.8858442
168,SW8,1.38670059,103.8906213
169,PTC,1.274397068,103.715293
170,PE1,1.399281988,103.9059619
171,PE2,1.39691205,103.9089502
172,PE3,1.393909229,103.9125808
173,PE4,1.394519785,103.9161694
174,PE5,1.399509106,103.916575
175,PE6,1.40228668,103.9127274
176,PE7,1.405234836,103.9086035
177,PW1,1.409612685,103.9048316
178,PW2,1.412770894,103.9065776
179,PW3,1.41684852,103.9066508
180,PW4,1.415901722,103.9021563
181,PW5,1.411854477,103.9003395
182,PW6,1.408452419,103.8985585
183,PW7,1.405323319,103.8972905
184,TE1,1.448292453,103.7856927
185,TE2,1.436057617,103.7879388
186,TE3,1.427396053,103.7932643
187,TE4,1.397581061,103.8178569
188,TE5,1.38550658,103.8357438
189,TE6,1.371463188,103.8365678
190,TE7,1.363283185,103.8328936
191,TE8,1.354416434,103.8328985
192,TE9,1.337245613,103.8401618
193,TE11,1.319334374,103.825567
194,TE12,1.306782234,103.8189568
195,TE13,1.302422248,103.8238685
196,TE14,1.303044263,103.831375
197,TE15,1.293948162,103.8337208
198,TE16,1.28850524,103.8335858
199,TE17,1.281329644,103.8391376
200,TE18,1.280533298,103.8438837
201,TE19,1.277716828,103.8503676
202,TE20,1.274741732,103.8553092
203,TE22,1.278487259,103.8674547
